Display Event,Timestamp,Title of the Event,Event Category,Event Date,Door Time,Start Time,End Time,Location (City/Town),Location (Venue),Venue Accessible?,Short Description,Long Description,Ticket Link
true,9/14/2024 15:47:56,"ImprovFest Ireland Show 2 - Casino Improv, Fabled, Bingewatch",,11/13/2024,8:25:00 PM,8:30:00 PM,10:00:00 PM,Dublin,The Teacher's Lounge,,Show abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz 2 of Improv Fest Ireland featuring ...,"Casino Improv (UK)
Presents: The Invocation

An improvised play of comedy and horror.

The Invocation begins with a candle-lit ceremony and weaves an atmospheric tale. It may be filled with modern panic, gothic angst, sci-fi terror, folkloric creeps or anything in between. 

Inspired from classic horror film and television such as Tales of the Unexpected and The Twilight Zone - join us, as we clasp hands and face our fears.


Fabled (UK)
The Improvised Fantasy Adventure

Hark! Who goes there?! Is that Hark? HARK!

Gather 'round, weary travellers. Sit thine bottoms and open thy ears to a story so improvised, so fantasy, so...adventure...that it will feel as if you have failed a wisdom saving throw against a Charm Person spell.

Fabled is an entirely improvised fantasy adventure tale featuring a hilarious cast of improvisers with live musical accompaniment.

Grab a stool at the Fabled Tavern and join us on our quest. Maybe bring a friend— after all, it's dangerous to go alone!
abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz

Bingewatch (USA)
This show show is all about what you love and why you love it! Where the TV multiverse comes to you. Bingewatch takes two of the shows you're binge watching, and mixes them together to give you something wholly new yet delightfully familiar. Chock full of your favorite binge worthy goodness, Bingewatch, it's your favorite TV from an alternate reality. Watch what you love!",https://fienta.com/2024shows
true,9/14/2024 15:50:53,wtewr,,,,,,,,,,,
true,9/14/2024 15:51:29,new test,,,,,,,,,,,
true,9/14/2024 15:55:42,sdfgsdf,,,,,,,sdfg,,,,
true,9/14/2024 15:58:15,checkbox test,,10/3/2024,,,,52625,634,,5yhdrgfhd,dfghdfg,
true,9/15/2024 11:57:18,Rachel test,Show,9/27/2024,7:45:00 PM,8:00:00 PM,9:00:00 AM,Galway,Steves Bar,Yes, An event,A lovely improv event,https://www.makevenues.co.uk/news/all-venue-news/venue-accessibility-checklist
true,9/15/2024 12:03:41,RSC Test 2,Variety Night,9/25/2024,,8:00:00 PM,,Belfast,Laverys,Yes,Sunday night improv,,
true,9/15/2024 12:09:33,Test 3,Class,9/25/2024,3:00:00 PM,3:30:00 PM,5:00:00 PM,Dublin,,No,A class,,
true,9/15/2024 12:14:43,Test 4,Workshop,9/30/2024,,4:00:00 PM,,Derry,,No,An amazing workshop,,
true,9/15/2024 12:31:11,Event title,Show,9/5/2024,6:45:00 PM,7:00:00 PM,9:00:00 PM,Belfast,,Yes,Musical improv spectacular,,
true,9/15/2024 12:40:57,No Gmail Account,Class,10/12/2024,12:00:00 PM,1:00:00 PM,2:00:00 PM,Unknown,Also Unknown,No,Testing an account without Gmail,,
true,9/15/2024 13:32:23,New Test Event,Class,9/27/2024,,11:00:00 PM,,Online,,No,"Dunno, short description here",,
true,9/15/2024 13:33:16,djdghj,Variety Night,10/6/2024,,10:22:00 PM,,dfg,,Yes,fhgjfgh,,
